Id,Title,Body
239,How to use XTS period.apply() using TTR indicator functions?,"<p>I can't seem to use TTR indicator functions direclty with period.apply() from XTS. Please help me figure out what I'm doing wrong.</p>

<pre><code>&gt; require(TTR)
&gt; require(quantmod)
&gt; require(xts)
&gt; data(sample_matrix)

&gt; period.apply(sample_matrix, endpoints(sample_matrix,""weeks""), RSI)

Error in EMA(c(NA, 0.190714286249097, 0.190459011271606, 0, 0, 0, NA,  : 
  Invalid 'n'
</code></pre>

<p>I also tried to <code>as.xts(sample_matrix)</code> first but it doesn't help.</p>
"
240,Behavior of range in python and arange in numpy,"<p>Can someone please explain the '-5' below.
I'm somewhat new to numpy, but this seems bizarre</p>

<pre><code>In [112]: an_int=9

In [113]: an_int/2
Out[113]: 4

In [114]: range(-an_int/2,an_int/2)
Out[114]: [-5, -4, -3, -2, -1, 0, 1, 2, 3]

In [115]: arange(-an_int/2,an_int/2)
Out[115]: array([-5, -4, -3, -2, -1,  0,  1,  2,  3])

In [116]: range(-4,4)
Out[116]: [-4, -3, -2, -1, 0, 1, 2, 3]
</code></pre>
"
241,Extracting bin properties of a self organizing map in R,"<p>I am trying to cluster large amount of data with SOM in R programming. The sample code is here :</p>

<pre><code>&gt; library(""kohonen"")
&gt; data(""wines"")
&gt; wines.sc &lt;- scale(wines)
&gt; set.seed(7)
&gt; wine.som &lt;- som(data = wines.sc, grid = somgrid(5, 4, ""hexagonal""))
&gt; plot(wine.som, main = ""Wine data"")
</code></pre>

<p>Now I have two questions:</p>

<ol>
<li>How can I extract the bin properties to find out each row of data belongs to which bin? (for example, I want to know each wine data row belongs to which bin). </li>
<li>How can I save the SOM and test it on the new dataset? </li>
</ol>
"
242,ggplot2 Color Scale Over Affected by Outliers,"<p>I'm having difficulty with a few outliers making the color scale useless.</p>

<p>My data has a Length variable that is based in a range, but will usually have a few much larger values. The below example data has 95 values between 500 and 1500, and 5 values over 50,000. The resulting color legends tend to use 10k, 20k, ... 70k for the color changes when I want to see color changes between 500 and 1500. Really, anything over around 1300 should be the same solid color (probably median +/- mad), but I don't know where to define that.</p>

<p>I'm open to any ggplot solution, but ideally lower values would be red, middle white, and higher blue (low is bad). In my own dataset, date is an actual date with as.POSIXct() in the ggplot aes(), but doesn't seem to affect the example.</p>

<pre><code>#example data
date &lt;- sample(x=1:10,size=100,replace=T)
stateabbr &lt;- sample(x=1:50,size=100,replace=T)
Length &lt;- c(sample(x=500:1500,size=95,replace=T),60000,55000,70000,50000,65000)
x &lt;- data.frame(date=date,stateabbr=stateabbr,Length=Length)

#main plot
(g &lt;- ggplot(data=x,aes(x=date,y=factor(stateabbr))) +
  geom_point(aes(color=as.numeric(as.character(Length))),alpha=3/4,size=4) + 
  #scale_x_datetime(labels=date_format(""%m/%d"")) + 
  opts(title=""Date and State"") + xlab(""Date"") + ylab(""State""))

#problem
g + scale_color_gradient2(""Length"",midpoint=median(x$Length))
</code></pre>

<p>Adding trans=""log"" or ""sqrt"" doesn't quite do the trick either.</p>

<p>Thank you for your help!</p>
"
243,Performance difference between built in magnitude function and this code,"<p>Is there a big difference between using the DirectX vector magnitude math function as opposed to the following code? </p>

<pre><code>float hyp = sqrt(pow(globalVector.x, 2) + pow(globalVector.y, 2))
</code></pre>
"
244,easiest way to generate base 3 numbers,"<p>I am trying to solve a mathematical problem programatically. Having a way to generate base 3 numbers would make it very easy to solve the problem. Do you know of any language that has in-built support for working with numbers of non-trivial base? It would be equally great if you could point me to some tool that can help me generate a sequence of base 3 numbers</p>
"
245,Is the death penalty an effective deterrent?,"<p>There is a lot of clutter from anti-death penalty sites, which makes it hard to find all the research.  They often cite statistics like those explained in <a href=""http://www.deathpenaltyinfo.org/deterrence-states-without-death-penalty-have-had-consistently-lower-murder-rates"" rel=""nofollow"">this website</a>, including the chart below that shows that murder rates in states without the death penalty are lower than those in states with the death penalty.</p>

<p><img src=""http://i.stack.imgur.com/dt5r7.jpg"" alt=""enter image description here""></p>

<p>Is a straight comparison of murder rates a fair way to gauge the effectiveness of the death penalty as a deterrent?  Might the murder rates be even higher in states that currently have the death penalty if they abandoned the practice?  Aren't there likely to be other factors that are contributing to higher murder rates (such as what each state considers to be ""murder"", or poverty levels, especially in the typically poorer southern states that carry out the majority of executions in the US)?  Is there any evidence for death penalty effectiveness that attempts to control for these other variables?  What about as a deterrent for other crimes besides murder?</p>

<p>Unless you're on here from China or Iran, I imagine this is a pretty uniquely US question. However, many European countries currently without the death penalty once had such laws, and perhaps the arguments used in those older debates would have merit.</p>

<p>UPDATE: I think ideally the answer to this question should involve some crime statistics from a place that had the death penalty, and then abolished it, or vice versa.  Ideally modeled in a way to try and control for other factors (as much as possible).</p>
"
246,R: polynomial shortcut notation in nls() formula,"<p>With the linear model function lm() polynomial formulas can contain a shortcut notation like this:</p>

<pre><code>m &lt;- lm(y ~ poly(x,3))
</code></pre>

<p>this is a shortcut that keeps the user from having to create x^2 and x^3 variables or typing them in the formula like <code>I(x^2) + I(x^3)</code>. Is there comparable notation for the nonlinear function <code>nls()</code>? </p>
"
247,java software for simplifying math expressions in contrast to evaluation,"<p>I just finished coding a symbolic differential calculus solver in the Java programming language. It works fine except for the fact that due to the algorithm I used in accomplishing the task, there are so many brackets and the expression is not in its most simple form.
For example, evaluating</p>

<pre><code>    diff(x-x^2)=(-((x^2)*(2/x))+1)
</code></pre>

<p>instead of</p>

<pre><code>    1-2*x.
</code></pre>

<p>The output is correct but is not simplified and this affects my optimization goals for the system. For this reason, subsequent stages of differentiation on this un-simplified output quickly produces output strings that gets large at a very high rate and makes it hard to evaluate higher derivatives. Please what free Java library is available for simplifying these output? I'm sure some people could say..why not code something by yourself..if you could code the differential calculus evaluator..but the truth is that I've had to code so many parsers and I need something reliable to get the job done for me. Thank you so much.</p>
"
248,making running mean of numbers in a row,"<p>I have the following table    </p>

<pre><code>&gt;anna2
     name   from      to       result
     11     66607     66841       5
     11     66846     67048       6 
     11     67409     68216       7
     11     69025     69289       12
     11     70172     70560       45
</code></pre>

<p>what I want is to create column which will have averages of the result in a row....</p>

<p>what I mean is that I want to have an average of the values 5,6,7 then the 6,7,12 then the 7,12,45 then the 12,45.....</p>

<p>BUT the mean of the 5,6,7 i want to be allocated to the 66846-67048 the mean of the 6,7,12 i want to be allocated in to the 67409 68216</p>

<p>so every time i want to have the mean to the center of the 3 values that i have used to calculate that because then i need to make a plot where my x is going to be the from-start and the y the mean value</p>

<p>how can i do that?</p>

<p>thank you in advance</p>

<p>Best regards
Anna</p>
"
249,Parallel computing in R on Windows using doSNOW: How to transfer results from clusters back to master,"<p>When using clusters in R on Windows I been trying to find a simple way to transfer results from a cluster to the master. If the results is an array or a simple number the .combine option of  foreach / %dopar% statement takes care of this, but if the result is a complex object lets such a randomForest model, how to transfer the whole model from the slave cluster back to the master?</p>

<p>I try: assing with <code>env=.Global</code> but it does not work on my Windows 7.</p>

<p>At the end I work around by saving the object to file. Then the master can recover the object. If someone knows a more elegant way or why assing does not work I appreciate comments.</p>

<p>sample code:</p>

<pre><code>print("" paralelize with 8 cores ------------------------------"")
library(doSNOW)
cl&lt;-makeCluster(8)
registerDoSNOW(cl)
clusterEvalQ(cl, library(randomForest))
clusterExport(cl, ""x"")
clusterExport(cl, ""y"")
clusterExport(cl, ""x.selected"")

makeModel &lt;- function(i){
  m &lt;- randomForest(x,x.selected[i,],mtry=250,sampsize=3200,ntree = 3000,do.trace=TRUE) 
  eval(parse(text = paste(""model_"",i,"" &lt;- m"",sep="""")))
  eval(parse( text =paste(""save(model_"", i, "", file =\""model_"", i, "".Rdata\"")"",sep="""" ) ))
}

foreach(i = 1:length(x.selected[,1]),.verbose = TRUE ) %dopar% makeModel(i)
stopCluster(cl)

foreach(i = 1:length(x.selected[,1]),.verbose = TRUE ) %do% 
load(paste(""model_"",i,"".RData"",sep=""""))
</code></pre>
"
250,C++ integer floor function,"<p>I want to implement greatest integer function. [The ""greatest integer function"" is a <a href=""http://www.google.com/search?q=greatest%20integer%20function"" rel=""nofollow"">quite</a> <a href=""http://books.google.com/books?q=greatest+integer+function"" rel=""nofollow"">standard name</a> for what is also known as the floor function.]</p>

<pre><code>int x = 5/3;
</code></pre>

<p>My question is with greater numbers could there be a loss of precision as 5/3 would produce a double?</p>

<p>EDIT: Greatest integer function is integer less than or equal to X.
Example:</p>

<pre><code>4.5 = 4
4 = 4
3.2 = 3
3 = 3
</code></pre>

<p>What I want to know is 5/3 going to produce a double? Because if so I will have loss of precision when converting to int.</p>

<p>Hope this makes sense.</p>
"
251,Evaluating 'combinatorial' sum,"<p>Help me please to calculate the following sum. I have seen such kind of formulas in the papers related to combinatorics, specifically 'trees'. I am curious how to calculate or approximate this sum:
Let $n \in N$, $q\geq 2$
$$
\sum_{m=-n}^n m^q {n \choose (m+n)/2}=\Gamma(n+1)\sum_{m=-n}^nm^q\frac{1}{\Gamma(n/2-m/2+1)\Gamma(n/2+m/2+1)}
$$</p>
"
252,Cannot view graphic output properly (forest plot),"<p>I am running a meta analysis in R using the meta package. The only problem is that I am combinining a large number of studies, so when I try to view the forest plot, I cannot see the entirety of it. If I try export it it also cuts off parts of the plot.</p>

<p>An example of my data is as follows</p>

<pre><code>title&lt;-c(""study1"",""study2"",""study3"",""study4"",""study5"",""study6"",""study7"",""study8"",""study9"",""study10"",""study11"",""study12"",""study13"",""study14"",""study15"",""study16"",""study17"",""study18"",""study19"",""study20"")
ES&lt;-c(45,47,108,76,-9.5,16,25.1,36.4,44,34,65.5,45,53,31.4,26,-10,45,19.1,28.8,36)
seES&lt;-c(104.5,6.4,31.8,32.3,15.3,5.9,11.8,7.6,11.7,7.6,14.7,5.1,2.5,13.2,15.3,-5.1,7.6,9.7,7.6,8.1)
indtreat&lt;-c(""drug 1"",""drug 1"",""drug 1"",""drug 2"",""drug 3"",""drug 4"",""drug 5"",""drug 6"",""drug 2"",""drug 7"",""drug 8"",""drug 8"",""drug 2"",""drug 7"",""drug 6"",""drug 6"",""drug 9"",""drug 2"",""drug 8"",""drug 10"")

data&lt;-cbind(title,ES,seES,indtreat)
data&lt;-as.data.frame(data)

alltreat_meta&lt;-metagen(data$ES,data$seES,studlab=data$title,sm=""MD"",label.e=""Active treatment"",
label.c=""placebo"",byvar=data$indtreat, print.byvar=FALSE)
forest(alltreat_meta)
</code></pre>

<p>(This is giving me the error ""non-numeric value for TE or seTE"", which I'm not too sure why?)</p>

<p>The problem is that when I run the line</p>

<pre><code>forest(alltreat_meta)
</code></pre>

<p>I cannot see the full forest plot, and am not sure how to zoom out or scroll up and down this plot. Does anyone know how to work around this problem?</p>
"
253,Automating R Script,"<p>I have written an R script that pulls some data from a database, performs several operations on it and post the output to a new database. </p>

<p>I would like this script to run every day at a specific time but I can not find any way to do this effectively. </p>

<p>Can anyone recommend a resource I could look at to solve this issue? I am running this script on a Windows machine.</p>
"
254,"Looking for a tool similar to ""Codealike""","<p>Does anyone know if there are any tools in existence similar to <a href=""http://www.codealike.com"" rel=""nofollow"">Codealike</a> where one could review stats on the work performed on a daily, weekly, monthly and yearly basis? I think codealike is a great tool, but it does not seem to work with my setup in Visual Studio 2010.</p>
"
255,How to periodize years into dates?,"<p>I'd like to go from this:</p>

<pre><code>  years
 -------
  1994
  2001
   .
   .
</code></pre>

<p>To this:</p>

<pre><code>int dates
 ------
  8793    # 1994-01-28
  8824    # 1994-02-28
  8852    # 1994-03-28
  8883    # 1994-04-28
  8913    # 1994-05-28
  8944    # 1994-06-28
  8974    # 1994-07-28
  9005    # 1994-08-28
  9036    # 1994-09-28
  9066    # 1994-10-28
  9097    # 1994-11-28
  9127    # 1994-12-28
 11350    # 2001-01-28
 11381    # 2001-02-28
 11409    # 2001-03-28
 11440    # 2001-04-28
 11470    # 2001-05-28
 11501    # 2001-06-28
 11531    # 2001-07-28
 11562    # 2001-08-28
 11593    # 2001-09-28
 11623    # 2001-10-28
 11654    # 2001-11-28
 11684    # 2001-12-28
   .
   .
</code></pre>

<p>i.e. periodizing each year into 12 dates (the 28th each month of that year) as 1970-base integers.</p>

<p>What is the most efficient way of doing this?</p>

<p>My attempt is painfully slow!</p>

<pre><code>require(data.table)

# Sample data
dt &lt;- data.table(year=c(1994,2001)) # edit

# Create results table
data &lt;- data.table(dates=integer())

for (i in 1:12) {
    temp &lt;- dt
    temp$dates &lt;- as.integer(as.Date(paste(temp$year, ""-"", sprintf( ""%02d"",i),""-28"", sep="""")))
    temp &lt;- subset(temp, select=dates)
    data &lt;- rbind(temp,data)
}

# Sort
data &lt;- data[with(data, order(dates)),]
</code></pre>
"
256,Changing coloumn names for all the files in the working directory,"<p>I am trying to learn how to work with multiple files, I have 5 sample csv files in the working directory that I am reading with the following codes:</p>

<pre><code>j = list.files()
d = lapply(j, read.csv, skip=6)
</code></pre>

<p>each files has 27 coloumns and I am trying to set coloumn name for each file, I know how to set coloumn name for a individual file, for example : </p>

<pre><code>colnames(data) = c(""type"",""date"",""v1"",""v2"",""v3"",""v4"",""v5"",""v6"",""v7"",""v8"",""v9"",""v10"",""v11"",""v12"",""v13"",""v14"",""v15"",""v16"",""v17"",""v18"",""v19"",""v20"",""v21"",""v22"",""v23"",""v24"",""total"")
</code></pre>

<p>I am just wondering how can I set for all the the files in the directory? </p>

<p>many thanks,
Ayan </p>
"
257,Google Combinatorial Optimization interview problem‍​​,"<p>I got asked this question on a interview for google a couple of weeks ago, I didn't quite get the answer and I was wondering if anyone here could help me out.</p>

<p>You have an array with <strong>n</strong> elements. The elements are either 0 or 1.
You want to <strong>split the array into k <em>contiguous</em> subarrays</strong>. The size of each subarray can vary between ceil(n/2k) and floor(3n/2k). You can assume that k &lt;&lt; n.
After you split the array into k subarrays. One element of each subarray will be randomly selected. </p>

<p>Devise an algorithm for maximizing the sum of the randomly selected elements from the k subarrays.
Basically means that we will want to split the array in such way such that the sum of all the expected values for the elements selected from each subarray is maximum. </p>

<p>You can assume that n is a power of 2.</p>

<pre><code>Example:

Array: [0,0,1,1,0,0,1,1,0,1,1,0]
n = 12
k = 3
Size of subarrays can be: 2,3,4,5,6

Possible subarrays [0,0,1] [1,0,0,1] [1,0,1,1,0]
Expected Value of the sum of the elements randomly selected from the subarrays: 1/3 + 2/4 + 3/5 = 43/30 ~ 1.4333333 

Optimal split: [0,0,1,1,0,0][1,1][0,1,1,0]
Expected value of optimal split: 1/3 + 1 + 1/2 = 11/6 ~ 1.83333333
</code></pre>
"
258,R iGraph Heatmap in Vertex,"<p>I'm quite new to R and stuck on a question. 
Would it be possible to print a heatmap on a vertex in iGraph?
I know I can do a colored square or circle. But would a small heatmap be possible?
This is the code that draws my current graph,:</p>

<pre><code>    # create graph
graph &lt;- graph.data.frame(network[,1:2])
vertex_names &lt;- get.vertex.attribute(graph,""name"")


# define node attributes
V(graph)$label.font &lt;- 1
V(graph)$label.font[which(element_types[vertex_names,""type""]==""PRIMARIES"")] &lt;- 2
V(graph)$label.font[which(element_types[vertex_names,""type""]==""REACTION"")] &lt;- 2

V(graph)$label &lt;- element_types[vertex_names,""label""]
V(graph)$color &lt;- element_types[vertex_names,""color""]
V(graph)$size &lt;- as.integer(element_types[vertex_names,""size""]*20)
V(graph)$label.cex &lt;- element_types[vertex_names,""weight""]

V(graph)$frame.color &lt;- ""gray""
V(graph)$frame.color[which(element_types[vertex_names,""type""]==""PRIMARIES"")] &lt;- ""white""
V(graph)$frame.color[which(element_types[vertex_names,""type""]==""PATHWAY"")] &lt;- ""white""
V(graph)$frame.color[which(element_types[vertex_names,""type""]==""PRODUCTS"")] &lt;- ""white""
V(graph)$frame.width &lt;- 10

V(graph)$shape &lt;- ""square""
V(graph)$shape[which(element_types[vertex_names,""type""]==""REACTION"")] &lt;- ""circle""

V(graph)$label.color &lt;- ""black""
V(graph)$label.color[which(element_types[vertex_names,""type""]==""PRIMARIES"")] &lt;- ""darkred""
V(graph)$label.color[which(element_types[vertex_names,""type""]==""PATHWAY"")] &lt;- ""darkgreen""
V(graph)$label.color[which(element_types[vertex_names,""type""]==""REACTION"")] &lt;- ""darkorange3""

E(graph)$color &lt;- ""red""
E(graph)$color[which(network[,3]==""out"")] &lt;- ""blue""
E(graph)$color[which(network[,3]==""external"")] &lt;- ""darkgreen""
E(graph)$arrow.size &lt;- 0.5

layout &lt;- layout.auto(graph)
plot.igraph(graph,layout=layout,main=pathways[pathway_id,""COMMON-NAME""])
</code></pre>

<p>furthermore I have matrices in a list that can be drawn into a heatmap.
These matrices look like this:</p>

<pre><code>[[1]]
     TotalSNP HighSNP ModerateSNP PromotorSNP
[1,]        1       0           0           1
[2,]        3       0           2           1
[3,]        5       0           2           3
[4,]        1       0           0           1
[5,]        7       0           4           3
[6,]        3       0           3           0
[7,]        4       0           1           3
[8,]        3       0           2           1

[[2]]
     TotalSNP HighSNP ModerateSNP PromotorSNP
[1,]        3       0           1           2
[2,]        0       0           0           0

[[3]]
     TotalSNP HighSNP ModerateSNP PromotorSNP
[1,]        0       0           0           0
[2,]        0       0           0           0
</code></pre>

<p>Does anyone know if it's possible to draw these matrices as heatmaps on the vertex???
Thank you in advance!
cheers,</p>

<p>Some toy data. </p>

<pre><code>    FinalList &lt;- list(structure(c(1, 3, 5, 1, 7, 3, 4, 3, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 2, 2, 0, 4, 3, 1, 2, 1, 1, 3, 1, 3, 0, 3, 1), .Dim = c(8L, 
4L), .Dimnames = list(NULL, c(""TotalSNP"", ""HighSNP"", ""ModerateSNP"", 
""PromotorSNP""))), structure(c(3, 0, 0, 0, 1, 0, 2, 0), .Dim = c(2L, 
4L), .Dimnames = list(NULL, c(""TotalSNP"", ""HighSNP"", ""ModerateSNP"", 
""PromotorSNP""))), structure(c(0, 0, 0, 0, 0, 0, 0, 0), .Dim = c(2L, 
4L), .Dimnames = list(NULL, c(""TotalSNP"", ""HighSNP"", ""ModerateSNP"", 
""PromotorSNP""))))
</code></pre>

<p>`</p>

<p>The size of the matrices can vary, It's always 4 columns but the number of rows can vary from 0 rows till 10. </p>
"
259,How to proceed with spoj LGIC?,"<p>I am trying to solve this problem <a href=""http://www.spoj.pl/problems/LGIC/"" rel=""nofollow"">http://www.spoj.pl/problems/LGIC/</a>. I just can't figure out how is this sequence advancing.</p>

<p>By lagarange's it is too complex to solve for such a great range.</p>

<p>The farthest I could get was with factorials</p>

<pre><code>  1! = 1   &amp; a1=2
  2! = 2   &amp; a2=4
  3! = 6   &amp; a3=11
  4! = 24  &amp; a4=36
  5! = 120 &amp; a5=147
  6! = 720 &amp; a6=778
</code></pre>

<p>Please guide me someone..</p>
"
260,find all combinations of 3 Keys in Object,"<p>Given an object with <strong>n</strong> keys, need to find all combinations of every 3 keys (<strong>nC3</strong> in math)</p>

<p>is this the most efficient way?</p>

<pre><code>var x = {};  // object

x['00'] = [1, 7, 9];
x['01'] = [1, 9];
x['02'] = [6, 8];
x['03'] = [1, 7];
x['04'] = [1, 5, 8];
x['05'] = [4, 6, 8, 9];

var triples = [],
    c = [0,0,0]; // counter. keep track of the indexes when looping over objects

for(var i in x){
    c[0]++;
    c[1] = 0;

    for(var j in x){ // loop to compare this x[i] array to all other arrays
        c[1]++;
        if( c[1] &lt; c[0]+1 ) continue;
        c[2] = 0;

        for(var k in x){
            c[2]++;
            if( c[2] &lt; c[1]+1 ) continue;

            triples.push( [i,j,k] );
        }
    }
}

console.dir(triples);
</code></pre>
"
261,What's the correct terminology for something that isn't quite classification nor regression?,"<p>Let's say that I have a problem that is basicly classification. That is, given some input and a number of possible output classes, find the correct class for the given input. Neural networks and decision trees are some of the algorithms that may be used to solve such problems. These algorithms typically only emit a single result however: the resulting classification.</p>

<p>Now what if I weren't only interested in one classification, but in the <em>posterior probabilities</em> that the input belongs to each of the classes. I.E., instead of the answer ""This input belongs in class A"", I want the answer ""This input belongs to class A with 80%, class B with 15% and class C with 5%"".</p>

<p>My question is not on how to obtain these posterior probabilities, but rather on the correct terminology to describe the process of finding them. You could call it regression, since we are now trying to estimate a number of real valued numbers, but I am not quite sure if that's right. I feel it's not exactly classification either, it's something in between the two.</p>

<p><strong>Is there a word that describes the process of finding the class conditional posterior probabilities that some input belongs in each of the possible output classes?</strong></p>

<p>P.S. I'm not exactly sure if this question is enough of a programming question, but since it's about machine learning and machine learning generally involves a decent amount of programming, let's give it a shot.</p>
"
262,MCMC Metropolis Hastings,"<p>Does anyone know a webpage or a document where I can find a practical example of implementation of the Metropolis-Hastings algorithm, with some thoughts about burn-in time and how to construct the transition matrix?</p>
"
263,Python 2.7 vs. 3.3 Performance,"<p>As of now, how does the overall performance / efficiency of Python 2.7 compare to 3.3?</p>

<p>I use Python for academic research, so am always concerned with reducing the time to run experiments, since waiting for experiments to finish tends to waste a lot of time.</p>

<p>I'm most interested in a comparison for simple numpy matrices and fundamental language features:</p>

<ul>
<li>Basic data structures including dictionaries, lists, etc</li>
<li>Method invocations</li>
<li>Object creation overhead / memory usage</li>
<li>Basic file I/O</li>
<li>Basic matrix operations in numpy (dot product with large float matrices)</li>
</ul>

<p>Similar questions have appeared for older versions of Python 3 (3.1, 3.2) and have generally said performance was better (if only slightly) in 2.7, but based on <a href=""http://mail.python.org/pipermail/python-dev/2012-October/121923.html"" rel=""nofollow"" title=""this mailing list"">this e-mail from the Python-dev mailing list</a>, it looks like Python 3.3 may now be superior 2.7.</p>
"
264,Create a dataframe with the results of a simple linear regression,"<p>I have a time serie of individual body condition index. I want to determine, for each individual, the evolution of the body condition index over time. In other words, I want to create a linear regression for each individual and then gather all the results (intercept and slope) into a dataframe that would look like this:</p>

<p>First column : Individual id</p>

<p>Second column : Intercept</p>

<p>Thirs column: Slope</p>

<p>This is what I tried (with only a sample of my dataset), but I only get a list of all the results and I don't know how to reunite them into a single dataframe:</p>

<pre><code>individual &lt;- c(1,1,6,8,8,9,9,9,12,12)
day &lt;- c(4,17,12,12,17,3,9,22,13,20)
condition &lt;- c(0.72, 0.72, 0.67, 0.73, 0.76, 0.65, 0.68, 0.78, 0.73, 0.71)       
test &lt;- data.frame(individual, day, condition)
ind.id &lt;- unique(test$individual)
ind.list &lt;- lapply(1:length(ind.id), function(i){ subset(test, test$individual==ind.id[i])})
lms &lt;- lapply(ind.list, lm, formula=condition~day)
</code></pre>

<p>Thank you!</p>
"
265,What does size really mean in geom_point?,"<p>In both plots the points look different, but why?</p>

<pre><code>mya &lt;- data.frame(a=1:100)

ggplot() +
  geom_path(data=mya, aes(x=a, y=a, colour=2, size=seq(0.1,10,0.1))) +
  geom_point(data=mya, aes(x=a, y=a, colour=1, size=1)) +
  theme_bw() +
  theme(text=element_text(size=11))

ggplot() +
  geom_path(data=mya, aes(x=a, y=a, colour=2, size=1)) +
  geom_point(data=mya, aes(x=a, y=a, colour=1, size=1)) +
  theme_bw() +
  theme(text=element_text(size=11))
</code></pre>

<p><code>?aes_linetype_size_shape</code> explains ...</p>

<pre><code> # Size examples
 # Should be specified with a numerical value (in millimetres),
 # or from a variable source
</code></pre>

<p>But in my code it looks different.</p>
"
266,Best way to reduce consecutive NAs to single NA,"<p>I need to reduce the consecutive NA's in a vector to a single NA, without touching the other values.<br>
So, for example, given a vector like this:</p>

<pre><code>NA NA  8  7 NA NA NA NA NA  3  3 NA -1  4
</code></pre>

<p>what I need to get, is the following result:</p>

<pre><code>NA  8  7 NA  3  3 NA -1  4
</code></pre>

<p>Currently, I'm using the following function:</p>

<pre><code>reduceConsecutiveNA2One &lt;- function(vect){
  enc &lt;- rle(is.na(vect))

  # helper func
  tmpFun &lt;- function(i){
    if(enc$values[i]){
      data.frame(L=c(enc$lengths[i]-1, 1), V=c(TRUE,FALSE))
    }else{
      data.frame(L=enc$lengths[i], V=enc$values[i])
    }
  }

  Df &lt;- do.call(rbind.data.frame,lapply(1:length(enc$lengths),FUN=tmpFun))

  return(vect[rep.int(!Df$V,Df$L)])
}
</code></pre>

<p>and it seems to work fine, but probably there's a simpler/faster way to accomplish this task.</p>

<p>Any suggestions ?</p>

<p>Thanks in advance.</p>
"
267,Can I transform this Perl Script to make it read from a file?,"<p>I want to get the median of a specific column of data using a Perl Script,I got a script that reads, values from an array within the script,.</p>

<pre><code>my (@vals, $med);
@vals =(12, 23, 34, 21, 66,66, 34, 87);
print ""UNSORTED: @vals\n""; #sort data points 
@vals = sort(@vals); 
print ""SORTED: @vals\n""; #test to see if there are an even number of data points 
if( @vals % 2 == 0) { #if pair then: 
$sum = $vals[(@vals/2)-1] + $vals[(@vals/2)]; 
$med = $sum/2; 
print ""The median value is $med\n""; 
} 
else {                       #if odd then: 
print ""The median value is $vals[@vals/2]\n""; 
} 
exit;
</code></pre>

<p>Can I transform this somehow to make it read the data from a file of several columns and calculate the median for a chosen column? like typing  ./median.pl 1 column_numbers.tbl  on the shell command.
I tried this, but the file data.txt has only one column</p>

<pre><code>my (@vals, $med, $sum1, @numbers, @sorted);
open (COLUMN, ""&lt; data.txt"") || die ""Can not open file : $! "";
my @not_sorted = &lt;COLUMN&gt;;                  
close (COLUMN);
@sorted = sort { $a &lt;=&gt; $b } @not_sorted;  
if (@vals % 2 == 0) {  
$med = ($sorted[int($N/2)]);             
print ""MEDIAN = $med\n"";
}
else {  
$sum1 = $vals[(@vals/2)-1] + $vals[(@vals/2)]; 
$med = $sum1/2;
print ""MEDIAN = $vals[@vals/2]\n"";
};
</code></pre>

<p>Thanks for help.</p>
"
268,Draw a point a set distance away from a base point,"<p>I'm trying to figure out an algorithm for finding a random point a set distance away from a base point. So for example:</p>

<p><img src=""http://i34.tinypic.com/2e4vxao.png"" alt=""alt text""></p>

<p>This could just be basic maths and my brain not working yet (forgive me, haven't had my coffee yet :) ), but I've been trying to work this out on paper and I'm not getting anywhere.</p>

<p>Thanks,</p>

<p>Niall.</p>
"
